petal_height,petal_width,opening_degree,layer_index,curvature_intensity,bone_root_start_x,bone_root_start_y,bone_root_end_x,bone_root_end_y,bone_middle_start_x,bone_middle_start_y,bone_middle_end_x,bone_middle_end_y,bone_left_start_x,bone_left_start_y,bone_left_end_x,bone_left_end_y,bone_right_start_x,bone_right_start_y,bone_right_end_x,bone_right_end_y
3.442879,1.414054,0.558433,2,0.855282,0.0,0.0,0.0,0.967173,0.0,1.032864,0.0,2.200508,0.0,2.237871,-0.463872,3.158112,0.0,2.237871,0.486032,2.941039
2.694462,0.453446,0.778068,1,1.381403,0.0,0.0,0.0,0.728512,0.0,0.727505,0.0,1.584296,0.0,1.57626,-0.180082,2.10904,0.0,1.57626,0.171364,2.195105
3.15441,0.750174,0.807406,2,1.051474,0.0,0.0,0.0,0.961745,0.0,0.946323,0.0,2.202392,0.0,2.050367,-0.298286,2.844317,0.0,2.050367,0.295098,2.785671
3.562502,0.411422,0.126917,2,1.235227,0.0,0.0,0.0,1.083648,0.0,1.068751,0.0,2.248565,0.0,2.315626,-0.100828,3.234301,0.0,2.315626,0.099636,3.141046
3.313965,1.182897,0.169641,0,1.267526,0.0,0.0,0.0,0.756828,0.0,0.795352,0.0,1.72553,0.0,1.723262,-0.307776,2.29105,0.0,1.723262,0.326108,2.323335
2.066122,0.5926,0.133882,1,0.546825,0.0,0.0,0.0,0.546477,0.0,0.557853,0.0,1.183447,0.0,1.208682,-0.150376,1.672001,0.0,1.208682,0.137012,1.651306
0.538309,0.642488,0.259257,1,1.283123,0.0,0.0,0.0,0.156016,0.0,0.145343,0.0,0.316736,0.0,0.314911,-0.180629,0.447644,0.0,0.314911,0.189045,0.424092
1.345801,1.213644,0.806628,0,0.565532,0.0,0.0,0.0,0.325383,0.0,0.322992,0.0,0.72566,0.0,0.699816,-0.45388,1.002348,0.0,0.699816,0.486015,0.931709
3.237569,0.284224,0.754622,1,0.96266,0.0,0.0,0.0,0.895889,0.0,0.874144,0.0,1.960861,0.0,1.893978,-0.119253,2.543613,0.0,1.893978,0.107242,2.499827
0.547211,1.066017,0.320773,0,0.614861,0.0,0.0,0.0,0.127832,0.0,0.131331,0.0,0.271307,0.0,0.28455,-0.278827,0.406798,0.0,0.28455,0.327628,0.41566
3.047164,1.051424,0.453878,0,1.142895,0.0,0.0,0.0,0.772394,0.0,0.731319,0.0,1.55441,0.0,1.584525,-0.339191,2.181184,0.0,1.584525,0.336172,2.257663
3.682647,1.214741,0.769581,1,0.810983,0.0,0.0,0.0,0.97908,0.0,0.994315,0.0,2.172051,0.0,2.154349,-0.448794,3.052576,0.0,2.154349,0.460471,2.982225
3.304938,0.932856,0.88913,0,1.135331,0.0,0.0,0.0,0.774719,0.0,0.793185,0.0,1.762986,0.0,1.718568,-0.398209,2.306474,0.0,1.718568,0.390864,2.241244
